Date,Origin,Destination,Duration
2018-11-17T11:30:00,gemeentemuseume,centraal,1680
2018-11-17T11:30:00,gemeentemuseume,maduradam,2580
2018-11-17T11:30:00,gemeentemuseume,kijkduin,1980
2018-11-17T11:30:00,gemeentemuseume,de uithof,3720
2018-11-17T11:30:00,gemeentemuseume,haagsemarkt,2580
2018-11-17T11:30:00,gemeentemuseume,mauritshuis,1560
2018-11-17T11:30:00,gemeentemuseume,familiepark drievliet,3300
2018-11-17T11:30:00,gemeentemuseume,huistenbosch,2040
2018-11-17T11:30:00,gemeentemuseume,Museum Voorlinden,-1
2018-11-17T11:30:00,kijkduin,centraal,2520
2018-11-17T11:30:00,kijkduin,maduradam,3480
2018-11-17T11:30:00,kijkduin,gemeentemuseume,2100
2018-11-17T11:30:00,kijkduin,de uithof,4200
2018-11-17T11:30:00,kijkduin,haagsemarkt,3060
2018-11-17T11:30:00,kijkduin,mauritshuis,2640
2018-11-17T11:30:00,kijkduin,familiepark drievliet,4140
2018-11-17T11:30:00,kijkduin,huistenbosch,2820
2018-11-17T11:30:00,kijkduin,Museum Voorlinden,-1
2018-11-17T11:30:00,de uithof,centraal,2280
2018-11-17T11:30:00,de uithof,maduradam,2940
2018-11-17T11:30:00,de uithof,gemeentemuseume,3720
2018-11-17T11:30:00,de uithof,kijkduin,2580
2018-11-17T11:30:00,de uithof,haagsemarkt,2340
2018-11-17T11:30:00,de uithof,mauritshuis,2400
2018-11-17T11:30:00,de uithof,familiepark drievliet,4020
2018-11-17T11:30:00,de uithof,huistenbosch,2700
2018-11-17T11:30:00,de uithof,Museum Voorlinden,-1
2018-11-17T11:30:00,haagsemarkt,centraal,1260
2018-11-17T11:30:00,haagsemarkt,maduradam,2220
2018-11-17T11:30:00,haagsemarkt,gemeentemuseume,3000
2018-11-17T11:30:00,haagsemarkt,kijkduin,2580
2018-11-17T11:30:00,haagsemarkt,de uithof,2220
2018-11-17T11:30:00,haagsemarkt,mauritshuis,1320
2018-11-17T11:30:00,haagsemarkt,familiepark drievliet,2520
2018-11-17T11:30:00,haagsemarkt,huistenbosch,1260
2018-11-17T11:30:00,haagsemarkt,Museum Voorlinden,-1
2018-11-17T11:30:00,mauritshuis,centraal,840
2018-11-17T11:30:00,mauritshuis,maduradam,1140
2018-11-17T11:30:00,mauritshuis,gemeentemuseume,1440
2018-11-17T11:30:00,mauritshuis,kijkduin,2580
2018-11-17T11:30:00,mauritshuis,de uithof,2400
